Region,Country,Site,PopulationToUse,EPI Year Number
East & Horn & Great Lakes,Burundi,Bwagiriza,10262,2024
East & Horn & Great Lakes,Burundi,Bwagiriza,10259,2025
East & Horn & Great Lakes,Burundi,Gasorwe / Kinama,7377,2024
East & Horn & Great Lakes,Burundi,Gasorwe / Kinama,7119,2025
East & Horn & Great Lakes,Burundi,Giharo,24005,2025
East & Horn & Great Lakes,Burundi,Kavumu,18379,2024
East & Horn & Great Lakes,Burundi,Kavumu,18770,2025
East & Horn & Great Lakes,Burundi,Musasa,8792,2024
East & Horn & Great Lakes,Burundi,Musasa,8907,2025
East & Horn & Great Lakes,Burundi,Musenyi,10365,2025
East & Horn & Great Lakes,Burundi,Nyakanda,11502,2024
East & Horn & Great Lakes,Burundi,Nyakanda,11612,2025
East & Horn & Great Lakes,Ethiopia,Alemwach,21707,2024
East & Horn & Great Lakes,Ethiopia,Alemwach,22586,2025
East & Horn & Great Lakes,Ethiopia,Aw-barre,13536,2024
East & Horn & Great Lakes,Ethiopia,Aw-barre,13536,2025
East & Horn & Great Lakes,Ethiopia,Aysaita,26694,2024
East & Horn & Great Lakes,Ethiopia,Aysaita,26694,2025
East & Horn & Great Lakes,Ethiopia,Bambasi,21041,2024
East & Horn & Great Lakes,Ethiopia,Bambasi,21413,2025
East & Horn & Great Lakes,Ethiopia,Berhale,29443,2024
East & Horn & Great Lakes,Ethiopia,Berhale,29443,2025
East & Horn & Great Lakes,Ethiopia,Bokolmanyo,33240,2024
East & Horn & Great Lakes,Ethiopia,Bokolmanyo,33311,2025
East & Horn & Great Lakes,Ethiopia,Buramino,48665,2024
East & Horn & Great Lakes,Ethiopia,Buramino,48797,2025
East & Horn & Great Lakes,Ethiopia,Hilaweyn,51491,2024
East & Horn & Great Lakes,Ethiopia,Hilaweyn,51725,2025
East & Horn & Great Lakes,Ethiopia,Jewi,68361,2024
East & Horn & Great Lakes,Ethiopia,Jewi,68892,2025
East & Horn & Great Lakes,Ethiopia,Kebribeyah,18258,2024
East & Horn & Great Lakes,Ethiopia,Kebribeyah,18258,2025
East & Horn & Great Lakes,Ethiopia,Kobe,39080,2024
East & Horn & Great Lakes,Ethiopia,Kobe,39282,2025
East & Horn & Great Lakes,Ethiopia,Kule,53838,2024
East & Horn & Great Lakes,Ethiopia,Kule,54687,2025
East & Horn & Great Lakes,Ethiopia,Kumer,16454,2024
East & Horn & Great Lakes,Ethiopia,Kumer,16454,2025
East & Horn & Great Lakes,Ethiopia,Melkadida,43552,2024
East & Horn & Great Lakes,Ethiopia,Melkadida,43641,2025
East & Horn & Great Lakes,Ethiopia,Nguenyiel,223402,2024
East & Horn & Great Lakes,Ethiopia,Nguenyiel,223638,2025
East & Horn & Great Lakes,Ethiopia,Okugo,13968,2024
East & Horn & Great Lakes,Ethiopia,Okugo,13435,2025
East & Horn & Great Lakes,Ethiopia,Pugnido,51447,2024
East & Horn & Great Lakes,Ethiopia,Pugnido,52157,2025
East & Horn & Great Lakes,Ethiopia,Pugnido 2,11401,2024
East & Horn & Great Lakes,Ethiopia,Pugnido 2,11465,2025
East & Horn & Great Lakes,Ethiopia,Sheder,14759,2024
East & Horn & Great Lakes,Ethiopia,Sheder,14759,2025
East & Horn & Great Lakes,Ethiopia,Sherkole,16153,2024
East & Horn & Great Lakes,Ethiopia,Sherkole,16423,2025
East & Horn & Great Lakes,Ethiopia,Tierkidi,72988,2024
East & Horn & Great Lakes,Ethiopia,Tierkidi,73426,2025
East & Horn & Great Lakes,Ethiopia,Tsore,43078,2024
East & Horn & Great Lakes,Ethiopia,Tsore,39588,2025
East & Horn & Great Lakes,Ethiopia,Ura Refugee Site,719,2024
East & Horn & Great Lakes,Ethiopia,Ura Refugee Site,11879,2025
East & Horn & Great Lakes,Rwanda,Kigeme,14459,2024
East & Horn & Great Lakes,Rwanda,Kigeme,14459,2025
East & Horn & Great Lakes,Rwanda,Kiziba,17263,2024
East & Horn & Great Lakes,Rwanda,Kiziba,17263,2025
East & Horn & Great Lakes,Rwanda,Mahama,58662,2024
East & Horn & Great Lakes,Rwanda,Mahama,68087,2025
East & Horn & Great Lakes,Rwanda,Mugombwa,11772,2024
East & Horn & Great Lakes,Rwanda,Mugombwa,11772,2025
East & Horn & Great Lakes,Rwanda,Nyabiheke,12029,2024
East & Horn & Great Lakes,Rwanda,Nyabiheke,11799,2025
East & Horn & Great Lakes,South Sudan,Ajuong Thok,47231,2024
East & Horn & Great Lakes,South Sudan,Ajuong Thok,49032,2025
East & Horn & Great Lakes,South Sudan,Doro,94981,2024
East & Horn & Great Lakes,South Sudan,Doro,99922,2025
East & Horn & Great Lakes,South Sudan,Gendrassa,19193,2024
East & Horn & Great Lakes,South Sudan,Gendrassa,18942,2025
East & Horn & Great Lakes,South Sudan,Gorom,11782,2024
East & Horn & Great Lakes,South Sudan,Gorom,14506,2025
East & Horn & Great Lakes,South Sudan,Kaya,32625,2024
East & Horn & Great Lakes,South Sudan,Kaya,32890,2025
East & Horn & Great Lakes,South Sudan,Makpandu,8015,2024
East & Horn & Great Lakes,South Sudan,Makpandu,13497,2025
East & Horn & Great Lakes,South Sudan,Pamir,38537,2024
East & Horn & Great Lakes,South Sudan,Pamir,51832,2025
East & Horn & Great Lakes,South Sudan,Yida,53578,2024
East & Horn & Great Lakes,South Sudan,Yida,53578,2025
East & Horn & Great Lakes,South Sudan,Yusuf Batil,53511,2024
East & Horn & Great Lakes,South Sudan,Yusuf Batil,53630,2025
East & Horn & Great Lakes,Sudan,Abo Jaara,3426,2024
East & Horn & Great Lakes,Sudan,Abo Jaara,3426,2025
East & Horn & Great Lakes,Sudan,Abu Jabra,10395,2024
East & Horn & Great Lakes,Sudan,Abu Jabra,10395,2025
East & Horn & Great Lakes,Sudan,Abu Jubaiha Town,8423,2024
East & Horn & Great Lakes,Sudan,Abu Jubaiha Town,8423,2025
East & Horn & Great Lakes,Sudan,Abu Karinka,3078,2024
East & Horn & Great Lakes,Sudan,Abu Karinka,3078,2025
East & Horn & Great Lakes,Sudan,Abu Sufyan,1969,2024
East & Horn & Great Lakes,Sudan,Abu Sufyan,1969,2025
East & Horn & Great Lakes,Sudan,Abuajora,1454,2024
East & Horn & Great Lakes,Sudan,Abuajora,1454,2025
East & Horn & Great Lakes,Sudan,Abuda,3539,2024
East & Horn & Great Lakes,Sudan,Abuda,3539,2025
East & Horn & Great Lakes,Sudan,Adila,4802,2024
East & Horn & Great Lakes,Sudan,Adila,4802,2025
East & Horn & Great Lakes,Sudan,Al Jameya,28798,2024
East & Horn & Great Lakes,Sudan,Al Jameya,28798,2025
East & Horn & Great Lakes,Sudan,Al Kashafa,20391,2024
East & Horn & Great Lakes,Sudan,Al Kashafa,20391,2025
East & Horn & Great Lakes,Sudan,Al Nimir,11847,2024
East & Horn & Great Lakes,Sudan,Al Nimir,11847,2025
East & Horn & Great Lakes,Sudan,Al Redis 1,15270,2024
East & Horn & Great Lakes,Sudan,Al Redis 1,15270,2025
East & Horn & Great Lakes,Sudan,Al Redis 2,40027,2024
East & Horn & Great Lakes,Sudan,Al Redis 2,40027,2025
East & Horn & Great Lakes,Sudan,Alagaya,62263,2024
East & Horn & Great Lakes,Sudan,Alagaya,62263,2025
East & Horn & Great Lakes,Sudan,Alamal,4635,2024
East & Horn & Great Lakes,Sudan,Alamal,4635,2025
East & Horn & Great Lakes,Sudan,Alaman,2065,2024
East & Horn & Great Lakes,Sudan,Alaman,2065,2025
East & Horn & Great Lakes,Sudan,Al-Lait Town,5097,2024
East & Horn & Great Lakes,Sudan,Al-Lait Town,5097,2025
East & Horn & Great Lakes,Sudan,Alqanaa,49675,2024
East & Horn & Great Lakes,Sudan,Alqanaa,49675,2025
East & Horn & Great Lakes,Sudan,Assalaya,1552,2024
East & Horn & Great Lakes,Sudan,Assalaya,1552,2025
East & Horn & Great Lakes,Sudan,Babikir,2199,2024
East & Horn & Great Lakes,Sudan,Babikir,2199,2025
East & Horn & Great Lakes,Sudan,Bantiu,12030,2024
East & Horn & Great Lakes,Sudan,Bantiu,12030,2025
East & Horn & Great Lakes,Sudan,Beliel,7257,2024
East & Horn & Great Lakes,Sudan,Beliel,7257,2025
East & Horn & Great Lakes,Sudan,Buram,784,2024
East & Horn & Great Lakes,Sudan,Buram,784,2025
East & Horn & Great Lakes,Sudan,"Camp 6, Blue Nile",20467,2024
East & Horn & Great Lakes,Sudan,"Camp 6, Blue Nile",20467,2025
East & Horn & Great Lakes,Sudan,Dabat Bosin,28731,2024
East & Horn & Great Lakes,Sudan,Dabat Bosin,28731,2025
East & Horn & Great Lakes,Sudan,Dalil Babiker,2923,2024
East & Horn & Great Lakes,Sudan,Dalil Babiker,2923,2025
East & Horn & Great Lakes,Sudan,Dalil Dukhry,1154,2024
East & Horn & Great Lakes,Sudan,Dalil Dukhry,1154,2025
East & Horn & Great Lakes,Sudan,Dar Batti,29439,2024
East & Horn & Great Lakes,Sudan,Dar Batti,29439,2025
East & Horn & Great Lakes,Sudan,Ed Daein,621,2024
East & Horn & Great Lakes,Sudan,Ed Daein,621,2025
East & Horn & Great Lakes,Sudan,El Fardus,7487,2024
East & Horn & Great Lakes,Sudan,El Fardus,7487,2025
East & Horn & Great Lakes,Sudan,El Fasher,1684,2024
East & Horn & Great Lakes,Sudan,El Fasher,1684,2025
East & Horn & Great Lakes,Sudan,El Radom,18453,2024
East & Horn & Great Lakes,Sudan,El Radom,18453,2025
East & Horn & Great Lakes,Sudan,Enhaood,3115,2024
East & Horn & Great Lakes,Sudan,Enhaood,3115,2025
East & Horn & Great Lakes,Sudan,Fau 5,825,2024
East & Horn & Great Lakes,Sudan,Fau 5,825,2025
East & Horn & Great Lakes,Sudan,Futaha,3265,2024
East & Horn & Great Lakes,Sudan,Futaha,3265,2025
East & Horn & Great Lakes,Sudan,Ghubaish,5591,2024
East & Horn & Great Lakes,Sudan,Ghubaish,5591,2025
East & Horn & Great Lakes,Sudan,Girba,10621,2024
East & Horn & Great Lakes,Sudan,Girba,10621,2025
East & Horn & Great Lakes,Sudan,Godat,2544,2024
East & Horn & Great Lakes,Sudan,Godat,2544,2025
East & Horn & Great Lakes,Sudan,Habib Darma,981,2024
East & Horn & Great Lakes,Sudan,Habib Darma,981,2025
East & Horn & Great Lakes,Sudan,Hamdayet RC,11637,2024
East & Horn & Great Lakes,Sudan,Hamdayet RC,11637,2025
East & Horn & Great Lakes,Sudan,Haskanita,2988,2024
East & Horn & Great Lakes,Sudan,Haskanita,2988,2025
East & Horn & Great Lakes,Sudan,Hillet Ali,417,2024
East & Horn & Great Lakes,Sudan,Hillet Ali,417,2025
East & Horn & Great Lakes,Sudan,Jouri,14626,2024
East & Horn & Great Lakes,Sudan,Jouri,14626,2025
East & Horn & Great Lakes,Sudan,Kadugli,1475,2024
East & Horn & Great Lakes,Sudan,Kadugli,1475,2025
East & Horn & Great Lakes,Sudan,Karakada,2318,2024
East & Horn & Great Lakes,Sudan,Karakada,2318,2025
East & Horn & Great Lakes,Sudan,Kario,38744,2024
East & Horn & Great Lakes,Sudan,Kario,38744,2025
East & Horn & Great Lakes,Sudan,Kharasan,8622,2024
East & Horn & Great Lakes,Sudan,Kharasan,8622,2025
East & Horn & Great Lakes,Sudan,Khor Al Waral,55434,2024
East & Horn & Great Lakes,Sudan,Khor Al Waral,55434,2025
East & Horn & Great Lakes,Sudan,Kilo 26,15338,2024
East & Horn & Great Lakes,Sudan,Kilo 26,15338,2025
East & Horn & Great Lakes,Sudan,Naivasha,11842,2024
East & Horn & Great Lakes,Sudan,Naivasha,11842,2025
East & Horn & Great Lakes,Sudan,Nyala,6180,2024
East & Horn & Great Lakes,Sudan,Nyala,6180,2025
East & Horn & Great Lakes,Sudan,Shag Allayon,1458,2024
East & Horn & Great Lakes,Sudan,Shag Allayon,1458,2025
East & Horn & Great Lakes,Sudan,Shagarab I,29198,2024
East & Horn & Great Lakes,Sudan,Shagarab I,29198,2025
East & Horn & Great Lakes,Sudan,Shagarab II,25358,2024
East & Horn & Great Lakes,Sudan,Shagarab II,25358,2025
East & Horn & Great Lakes,Sudan,Shagarab III,7171,2024
East & Horn & Great Lakes,Sudan,Shagarab III,7171,2025
East & Horn & Great Lakes,Sudan,Sharg Alneel Open Area,3062,2024
East & Horn & Great Lakes,Sudan,Sharg Alneel Open Area,3062,2025
East & Horn & Great Lakes,Sudan,Tunaydba,18913,2024
East & Horn & Great Lakes,Sudan,Tunaydba,18913,2025
East & Horn & Great Lakes,Sudan,Um Gargour,11503,2024
East & Horn & Great Lakes,Sudan,Um Gargour,11503,2025
East & Horn & Great Lakes,Sudan,Um Rakuba,18913,2024
East & Horn & Great Lakes,Sudan,Um Rakuba,18913,2025
East & Horn & Great Lakes,Sudan,Um Sangour,68236,2024
East & Horn & Great Lakes,Sudan,Um Sangour,68236,2025
East & Horn & Great Lakes,Sudan,Um Shalaya,4081,2024
East & Horn & Great Lakes,Sudan,Um Shalaya,4081,2025
East & Horn & Great Lakes,Sudan,Village 8 TC,11637,2024
East & Horn & Great Lakes,Sudan,Village 8 TC,11637,2025
