IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_20,"Outpatient visits (per 100,000)",numeric,AFR,Africa,Country,BEN,Benin,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,AFR,Africa,Country,BWA,Botswana,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,AMR,Americas,Country,HTI,Haiti,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,AFR,Africa,Country,NAM,Namibia,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,EUR,Europe,Country,ROU,Romania,Year,2014,true,,,,,,,,,,,,,0,,,,,,0.000,,,EN,2015-07-06T23:00:00.000Z
MH_20,"Outpatient visits (per 100,000)",numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2014,true,,,,,,,,,,,,,0.044,,,,,,0.044,,,EN,2015-07-06T23:00:00.000Z
